TimeKey,Date,Year,Quarter,Month,MonthName,Week,DayOfMonth,DayOfWeek,DayName,IsWeekend
134,1997-01-07 00:00:00,1997,1,1,January,2,7,1,Tuesday,False
135,1997-01-08 00:00:00,1997,1,1,January,2,8,2,Wednesday,False
136,1997-01-09 00:00:00,1997,1,1,January,2,9,3,Thursday,False
137,1997-01-10 00:00:00,1997,1,1,January,2,10,4,Friday,False
138,1997-01-13 00:00:00,1997,1,1,January,3,13,0,Monday,False
139,1997-01-14 00:00:00,1997,1,1,January,3,14,1,Tuesday,False
140,1997-01-15 00:00:00,1997,1,1,January,3,15,2,Wednesday,False
141,1997-01-16 00:00:00,1997,1,1,January,3,16,3,Thursday,False
142,1997-01-17 00:00:00,1997,1,1,January,3,17,4,Friday,False
143,1997-01-20 00:00:00,1997,1,1,January,4,20,0,Monday,False
144,1997-01-21 00:00:00,1997,1,1,January,4,21,1,Tuesday,False
145,1997-01-22 00:00:00,1997,1,1,January,4,22,2,Wednesday,False
146,1997-01-23 00:00:00,1997,1,1,January,4,23,3,Thursday,False
147,1997-01-24 00:00:00,1997,1,1,January,4,24,4,Friday,False
148,1997-01-27 00:00:00,1997,1,1,January,5,27,0,Monday,False
149,1997-01-28 00:00:00,1997,1,1,January,5,28,1,Tuesday,False
150,1997-01-29 00:00:00,1997,1,1,January,5,29,2,Wednesday,False
151,1997-01-30 00:00:00,1997,1,1,January,5,30,3,Thursday,False
152,1997-01-31 00:00:00,1997,1,1,January,5,31,4,Friday,False
153,1997-02-03 00:00:00,1997,1,2,February,6,3,0,Monday,False
154,1997-02-04 00:00:00,1997,1,2,February,6,4,1,Tuesday,False
155,1997-02-05 00:00:00,1997,1,2,February,6,5,2,Wednesday,False
156,1997-02-06 00:00:00,1997,1,2,February,6,6,3,Thursday,False
157,1997-02-07 00:00:00,1997,1,2,February,6,7,4,Friday,False
158,1997-02-10 00:00:00,1997,1,2,February,7,10,0,Monday,False
159,1997-02-11 00:00:00,1997,1,2,February,7,11,1,Tuesday,False
160,1997-02-12 00:00:00,1997,1,2,February,7,12,2,Wednesday,False
161,1997-02-13 00:00:00,1997,1,2,February,7,13,3,Thursday,False
162,1997-02-14 00:00:00,1997,1,2,February,7,14,4,Friday,False
163,1997-02-17 00:00:00,1997,1,2,February,8,17,0,Monday,False
164,1997-02-18 00:00:00,1997,1,2,February,8,18,1,Tuesday,False
165,1997-02-19 00:00:00,1997,1,2,February,8,19,2,Wednesday,False
166,1997-02-20 00:00:00,1997,1,2,February,8,20,3,Thursday,False
167,1997-02-21 00:00:00,1997,1,2,February,8,21,4,Friday,False
168,1997-02-24 00:00:00,1997,1,2,February,9,24,0,Monday,False
169,1997-02-25 00:00:00,1997,1,2,February,9,25,1,Tuesday,False
170,1997-02-26 00:00:00,1997,1,2,February,9,26,2,Wednesday,False
171,1997-02-27 00:00:00,1997,1,2,February,9,27,3,Thursday,False
172,1997-02-28 00:00:00,1997,1,2,February,9,28,4,Friday,False
173,1997-03-03 00:00:00,1997,1,3,March,10,3,0,Monday,False
174,1997-03-04 00:00:00,1997,1,3,March,10,4,1,Tuesday,False
175,1997-03-05 00:00:00,1997,1,3,March,10,5,2,Wednesday,False
176,1997-03-06 00:00:00,1997,1,3,March,10,6,3,Thursday,False
177,1997-03-07 00:00:00,1997,1,3,March,10,7,4,Friday,False
178,1997-03-10 00:00:00,1997,1,3,March,11,10,0,Monday,False
179,1997-03-11 00:00:00,1997,1,3,March,11,11,1,Tuesday,False
180,1997-03-12 00:00:00,1997,1,3,March,11,12,2,Wednesday,False
181,1997-03-13 00:00:00,1997,1,3,March,11,13,3,Thursday,False
182,1997-03-14 00:00:00,1997,1,3,March,11,14,4,Friday,False
183,1997-03-17 00:00:00,1997,1,3,March,12,17,0,Monday,False
184,1997-03-18 00:00:00,1997,1,3,March,12,18,1,Tuesday,False
185,1997-03-19 00:00:00,1997,1,3,March,12,19,2,Wednesday,False
186,1997-03-20 00:00:00,1997,1,3,March,12,20,3,Thursday,False
187,1997-03-21 00:00:00,1997,1,3,March,12,21,4,Friday,False
188,1997-03-24 00:00:00,1997,1,3,March,13,24,0,Monday,False
189,1997-03-25 00:00:00,1997,1,3,March,13,25,1,Tuesday,False
190,1997-03-26 00:00:00,1997,1,3,March,13,26,2,Wednesday,False
191,1997-03-27 00:00:00,1997,1,3,March,13,27,3,Thursday,False
192,1997-03-28 00:00:00,1997,1,3,March,13,28,4,Friday,False
193,1997-03-31 00:00:00,1997,1,3,March,14,31,0,Monday,False
194,1997-04-01 00:00:00,1997,2,4,April,14,1,1,Tuesday,False
195,1997-04-02 00:00:00,1997,2,4,April,14,2,2,Wednesday,False
196,1997-04-03 00:00:00,1997,2,4,April,14,3,3,Thursday,False
197,1997-04-04 00:00:00,1997,2,4,April,14,4,4,Friday,False
198,1997-04-07 00:00:00,1997,2,4,April,15,7,0,Monday,False
199,1997-04-08 00:00:00,1997,2,4,April,15,8,1,Tuesday,False
200,1997-04-09 00:00:00,1997,2,4,April,15,9,2,Wednesday,False
201,1997-04-10 00:00:00,1997,2,4,April,15,10,3,Thursday,False
202,1997-04-11 00:00:00,1997,2,4,April,15,11,4,Friday,False
203,1997-04-14 00:00:00,1997,2,4,April,16,14,0,Monday,False
204,1997-04-15 00:00:00,1997,2,4,April,16,15,1,Tuesday,False
205,1997-04-16 00:00:00,1997,2,4,April,16,16,2,Wednesday,False
206,1997-04-17 00:00:00,1997,2,4,April,16,17,3,Thursday,False
207,1997-04-18 00:00:00,1997,2,4,April,16,18,4,Friday,False
208,1997-04-21 00:00:00,1997,2,4,April,17,21,0,Monday,False
209,1997-04-22 00:00:00,1997,2,4,April,17,22,1,Tuesday,False
210,1997-04-23 00:00:00,1997,2,4,April,17,23,2,Wednesday,False
211,1997-04-24 00:00:00,1997,2,4,April,17,24,3,Thursday,False
212,1997-04-25 00:00:00,1997,2,4,April,17,25,4,Friday,False
213,1997-04-28 00:00:00,1997,2,4,April,18,28,0,Monday,False
214,1997-04-29 00:00:00,1997,2,4,April,18,29,1,Tuesday,False
215,1997-04-30 00:00:00,1997,2,4,April,18,30,2,Wednesday,False
216,1997-05-01 00:00:00,1997,2,5,May,18,1,3,Thursday,False
217,1997-05-02 00:00:00,1997,2,5,May,18,2,4,Friday,False
218,1997-05-05 00:00:00,1997,2,5,May,19,5,0,Monday,False
219,1997-05-06 00:00:00,1997,2,5,May,19,6,1,Tuesday,False
220,1997-05-07 00:00:00,1997,2,5,May,19,7,2,Wednesday,False
221,1997-05-08 00:00:00,1997,2,5,May,19,8,3,Thursday,False
222,1997-05-09 00:00:00,1997,2,5,May,19,9,4,Friday,False
223,1997-05-12 00:00:00,1997,2,5,May,20,12,0,Monday,False
224,1997-05-13 00:00:00,1997,2,5,May,20,13,1,Tuesday,False
225,1997-05-14 00:00:00,1997,2,5,May,20,14,2,Wednesday,False
226,1997-05-15 00:00:00,1997,2,5,May,20,15,3,Thursday,False
227,1997-05-16 00:00:00,1997,2,5,May,20,16,4,Friday,False
228,1997-05-19 00:00:00,1997,2,5,May,21,19,0,Monday,False
229,1997-05-20 00:00:00,1997,2,5,May,21,20,1,Tuesday,False
230,1997-05-21 00:00:00,1997,2,5,May,21,21,2,Wednesday,False
231,1997-05-22 00:00:00,1997,2,5,May,21,22,3,Thursday,False
232,1997-05-23 00:00:00,1997,2,5,May,21,23,4,Friday,False
233,1997-05-26 00:00:00,1997,2,5,May,22,26,0,Monday,False
234,1997-05-27 00:00:00,1997,2,5,May,22,27,1,Tuesday,False
235,1997-05-28 00:00:00,1997,2,5,May,22,28,2,Wednesday,False
236,1997-05-29 00:00:00,1997,2,5,May,22,29,3,Thursday,False
237,1997-05-30 00:00:00,1997,2,5,May,22,30,4,Friday,False
238,1997-06-02 00:00:00,1997,2,6,June,23,2,0,Monday,False
239,1997-06-03 00:00:00,1997,2,6,June,23,3,1,Tuesday,False
240,1997-06-04 00:00:00,1997,2,6,June,23,4,2,Wednesday,False
241,1997-06-05 00:00:00,1997,2,6,June,23,5,3,Thursday,False
242,1997-06-06 00:00:00,1997,2,6,June,23,6,4,Friday,False
243,1997-06-09 00:00:00,1997,2,6,June,24,9,0,Monday,False
244,1997-06-10 00:00:00,1997,2,6,June,24,10,1,Tuesday,False
245,1997-06-11 00:00:00,1997,2,6,June,24,11,2,Wednesday,False
246,1997-06-12 00:00:00,1997,2,6,June,24,12,3,Thursday,False
247,1997-06-13 00:00:00,1997,2,6,June,24,13,4,Friday,False
248,1997-06-16 00:00:00,1997,2,6,June,25,16,0,Monday,False
249,1997-06-17 00:00:00,1997,2,6,June,25,17,1,Tuesday,False
250,1997-06-18 00:00:00,1997,2,6,June,25,18,2,Wednesday,False
251,1997-06-19 00:00:00,1997,2,6,June,25,19,3,Thursday,False
252,1997-06-20 00:00:00,1997,2,6,June,25,20,4,Friday,False
253,1997-06-23 00:00:00,1997,2,6,June,26,23,0,Monday,False
254,1997-06-24 00:00:00,1997,2,6,June,26,24,1,Tuesday,False
255,1997-06-25 00:00:00,1997,2,6,June,26,25,2,Wednesday,False
256,1997-06-26 00:00:00,1997,2,6,June,26,26,3,Thursday,False
257,1997-06-27 00:00:00,1997,2,6,June,26,27,4,Friday,False
258,1997-06-30 00:00:00,1997,2,6,June,27,30,0,Monday,False
259,1997-07-01 00:00:00,1997,3,7,July,27,1,1,Tuesday,False
260,1997-07-02 00:00:00,1997,3,7,July,27,2,2,Wednesday,False
261,1997-07-03 00:00:00,1997,3,7,July,27,3,3,Thursday,False
262,1997-07-04 00:00:00,1997,3,7,July,27,4,4,Friday,False
263,1997-07-07 00:00:00,1997,3,7,July,28,7,0,Monday,False
264,1997-07-08 00:00:00,1997,3,7,July,28,8,1,Tuesday,False
265,1997-07-09 00:00:00,1997,3,7,July,28,9,2,Wednesday,False
266,1997-07-10 00:00:00,1997,3,7,July,28,10,3,Thursday,False
267,1997-07-11 00:00:00,1997,3,7,July,28,11,4,Friday,False
268,1997-07-14 00:00:00,1997,3,7,July,29,14,0,Monday,False
269,1997-07-15 00:00:00,1997,3,7,July,29,15,1,Tuesday,False
270,1997-07-16 00:00:00,1997,3,7,July,29,16,2,Wednesday,False
271,1997-07-17 00:00:00,1997,3,7,July,29,17,3,Thursday,False
272,1997-07-18 00:00:00,1997,3,7,July,29,18,4,Friday,False
273,1997-07-21 00:00:00,1997,3,7,July,30,21,0,Monday,False
274,1997-07-22 00:00:00,1997,3,7,July,30,22,1,Tuesday,False
275,1997-07-23 00:00:00,1997,3,7,July,30,23,2,Wednesday,False
276,1997-07-24 00:00:00,1997,3,7,July,30,24,3,Thursday,False
277,1997-07-25 00:00:00,1997,3,7,July,30,25,4,Friday,False
278,1997-07-28 00:00:00,1997,3,7,July,31,28,0,Monday,False
279,1997-07-29 00:00:00,1997,3,7,July,31,29,1,Tuesday,False
280,1997-07-30 00:00:00,1997,3,7,July,31,30,2,Wednesday,False
281,1997-07-31 00:00:00,1997,3,7,July,31,31,3,Thursday,False
282,1997-08-01 00:00:00,1997,3,8,August,31,1,4,Friday,False
283,1997-08-04 00:00:00,1997,3,8,August,32,4,0,Monday,False
284,1997-08-05 00:00:00,1997,3,8,August,32,5,1,Tuesday,False
285,1997-08-06 00:00:00,1997,3,8,August,32,6,2,Wednesday,False
286,1997-08-07 00:00:00,1997,3,8,August,32,7,3,Thursday,False
287,1997-08-08 00:00:00,1997,3,8,August,32,8,4,Friday,False
288,1997-08-11 00:00:00,1997,3,8,August,33,11,0,Monday,False
289,1997-08-12 00:00:00,1997,3,8,August,33,12,1,Tuesday,False
290,1997-08-13 00:00:00,1997,3,8,August,33,13,2,Wednesday,False
291,1997-08-14 00:00:00,1997,3,8,August,33,14,3,Thursday,False
292,1997-08-15 00:00:00,1997,3,8,August,33,15,4,Friday,False
293,1997-08-18 00:00:00,1997,3,8,August,34,18,0,Monday,False
294,1997-08-19 00:00:00,1997,3,8,August,34,19,1,Tuesday,False
295,1997-08-20 00:00:00,1997,3,8,August,34,20,2,Wednesday,False
296,1997-08-21 00:00:00,1997,3,8,August,34,21,3,Thursday,False
297,1997-08-22 00:00:00,1997,3,8,August,34,22,4,Friday,False
298,1997-08-25 00:00:00,1997,3,8,August,35,25,0,Monday,False
299,1997-08-26 00:00:00,1997,3,8,August,35,26,1,Tuesday,False
300,1997-08-27 00:00:00,1997,3,8,August,35,27,2,Wednesday,False
301,1997-08-28 00:00:00,1997,3,8,August,35,28,3,Thursday,False
302,1997-08-29 00:00:00,1997,3,8,August,35,29,4,Friday,False
303,1997-09-01 00:00:00,1997,3,9,September,36,1,0,Monday,False
304,1997-09-02 00:00:00,1997,3,9,September,36,2,1,Tuesday,False
305,1997-09-03 00:00:00,1997,3,9,September,36,3,2,Wednesday,False
306,1997-09-04 00:00:00,1997,3,9,September,36,4,3,Thursday,False
307,1997-09-05 00:00:00,1997,3,9,September,36,5,4,Friday,False
308,1997-09-08 00:00:00,1997,3,9,September,37,8,0,Monday,False
309,1997-09-09 00:00:00,1997,3,9,September,37,9,1,Tuesday,False
310,1997-09-10 00:00:00,1997,3,9,September,37,10,2,Wednesday,False
311,1997-09-11 00:00:00,1997,3,9,September,37,11,3,Thursday,False
312,1997-09-12 00:00:00,1997,3,9,September,37,12,4,Friday,False
313,1997-09-15 00:00:00,1997,3,9,September,38,15,0,Monday,False
314,1997-09-16 00:00:00,1997,3,9,September,38,16,1,Tuesday,False
315,1997-09-17 00:00:00,1997,3,9,September,38,17,2,Wednesday,False
316,1997-09-18 00:00:00,1997,3,9,September,38,18,3,Thursday,False
317,1997-09-19 00:00:00,1997,3,9,September,38,19,4,Friday,False
318,1997-09-22 00:00:00,1997,3,9,September,39,22,0,Monday,False
319,1997-09-23 00:00:00,1997,3,9,September,39,23,1,Tuesday,False
320,1997-09-24 00:00:00,1997,3,9,September,39,24,2,Wednesday,False
321,1997-09-25 00:00:00,1997,3,9,September,39,25,3,Thursday,False
322,1997-09-26 00:00:00,1997,3,9,September,39,26,4,Friday,False
323,1997-09-29 00:00:00,1997,3,9,September,40,29,0,Monday,False
324,1997-09-30 00:00:00,1997,3,9,September,40,30,1,Tuesday,False
325,1997-10-01 00:00:00,1997,4,10,October,40,1,2,Wednesday,False
326,1997-10-02 00:00:00,1997,4,10,October,40,2,3,Thursday,False
327,1997-10-03 00:00:00,1997,4,10,October,40,3,4,Friday,False
328,1997-10-06 00:00:00,1997,4,10,October,41,6,0,Monday,False
329,1997-10-07 00:00:00,1997,4,10,October,41,7,1,Tuesday,False
330,1997-10-08 00:00:00,1997,4,10,October,41,8,2,Wednesday,False
331,1997-10-09 00:00:00,1997,4,10,October,41,9,3,Thursday,False
332,1997-10-10 00:00:00,1997,4,10,October,41,10,4,Friday,False
333,1997-10-13 00:00:00,1997,4,10,October,42,13,0,Monday,False
334,1997-10-14 00:00:00,1997,4,10,October,42,14,1,Tuesday,False
335,1997-10-15 00:00:00,1997,4,10,October,42,15,2,Wednesday,False
336,1997-10-16 00:00:00,1997,4,10,October,42,16,3,Thursday,False
337,1997-10-17 00:00:00,1997,4,10,October,42,17,4,Friday,False
338,1997-10-20 00:00:00,1997,4,10,October,43,20,0,Monday,False
339,1997-10-21 00:00:00,1997,4,10,October,43,21,1,Tuesday,False
340,1997-10-22 00:00:00,1997,4,10,October,43,22,2,Wednesday,False
341,1997-10-23 00:00:00,1997,4,10,October,43,23,3,Thursday,False
342,1997-10-24 00:00:00,1997,4,10,October,43,24,4,Friday,False
343,1997-10-27 00:00:00,1997,4,10,October,44,27,0,Monday,False
344,1997-10-28 00:00:00,1997,4,10,October,44,28,1,Tuesday,False
345,1997-10-29 00:00:00,1997,4,10,October,44,29,2,Wednesday,False
346,1997-10-30 00:00:00,1997,4,10,October,44,30,3,Thursday,False
347,1997-10-31 00:00:00,1997,4,10,October,44,31,4,Friday,False
348,1997-11-03 00:00:00,1997,4,11,November,45,3,0,Monday,False
349,1997-11-04 00:00:00,1997,4,11,November,45,4,1,Tuesday,False
350,1997-11-05 00:00:00,1997,4,11,November,45,5,2,Wednesday,False
351,1997-11-06 00:00:00,1997,4,11,November,45,6,3,Thursday,False
352,1997-11-07 00:00:00,1997,4,11,November,45,7,4,Friday,False
353,1997-11-10 00:00:00,1997,4,11,November,46,10,0,Monday,False
354,1997-11-11 00:00:00,1997,4,11,November,46,11,1,Tuesday,False
355,1997-11-12 00:00:00,1997,4,11,November,46,12,2,Wednesday,False
356,1997-11-13 00:00:00,1997,4,11,November,46,13,3,Thursday,False
357,1997-11-14 00:00:00,1997,4,11,November,46,14,4,Friday,False
358,1997-11-17 00:00:00,1997,4,11,November,47,17,0,Monday,False
359,1997-11-18 00:00:00,1997,4,11,November,47,18,1,Tuesday,False
360,1997-11-19 00:00:00,1997,4,11,November,47,19,2,Wednesday,False
361,1997-11-20 00:00:00,1997,4,11,November,47,20,3,Thursday,False
362,1997-11-21 00:00:00,1997,4,11,November,47,21,4,Friday,False
363,1997-11-24 00:00:00,1997,4,11,November,48,24,0,Monday,False
364,1997-11-25 00:00:00,1997,4,11,November,48,25,1,Tuesday,False
365,1997-11-26 00:00:00,1997,4,11,November,48,26,2,Wednesday,False
366,1997-11-27 00:00:00,1997,4,11,November,48,27,3,Thursday,False
367,1997-11-28 00:00:00,1997,4,11,November,48,28,4,Friday,False
368,1997-12-01 00:00:00,1997,4,12,December,49,1,0,Monday,False
369,1997-12-02 00:00:00,1997,4,12,December,49,2,1,Tuesday,False
370,1997-12-03 00:00:00,1997,4,12,December,49,3,2,Wednesday,False
371,1997-12-04 00:00:00,1997,4,12,December,49,4,3,Thursday,False
372,1997-12-05 00:00:00,1997,4,12,December,49,5,4,Friday,False
373,1997-12-08 00:00:00,1997,4,12,December,50,8,0,Monday,False
374,1997-12-09 00:00:00,1997,4,12,December,50,9,1,Tuesday,False
375,1997-12-10 00:00:00,1997,4,12,December,50,10,2,Wednesday,False
